Id,SalePrice
1461,129014.33210288678
1462,154055.00579872457
1463,191887.7703152258
1464,190064.94068922842
1465,180952.48113211867
1466,174520.38876408534
1467,178791.48710691
1468,170965.70703978033
1469,183536.97813880895
1470,128434.07156530126
1471,182297.18299611926
1472,100739.42687130523
1473,98744.75365707239
1474,159842.29445659733
1475,132028.5546189693
1476,449126.19486849447
1477,281616.5994273657
1478,276618.17758026795
1479,257295.332259052
1480,434448.1281883087
1481,342343.49603771744
1482,217277.3502550364
1483,173424.90705391514
1484,163463.44967428493
1485,171170.11105355894
1486,203898.40885021433
1487,360388.5636523055
1488,233272.31494413226
1489,209342.35246983284
1490,213639.7668474491
1491,183417.83204898643
1492,104710.48958482634
1493,189623.2134594537
1494,292452.17335148505
1495,274509.9970689852
1496,234312.19030286622
1497,184014.2011657552
1498,166589.5707255502
1499,166649.78432388228
1500,160478.24641408995
1501,204384.57438712643
1502,149109.9231835746
1503,305806.7601876561
1504,235111.20815703535
1505,211894.10878821625
1506,197017.95242707815
1507,256499.54620191013
1508,202142.66641948753
1509,164237.52265127204
1510,156109.6174848961
1511,145840.18019415403
1512,169528.4294304732
1513,158678.404339074
1514,174109.71426489504
1515,199344.28196592673
1516,145935.71111342777
1517,161595.9792256138
1518,127994.24149910561
1519,233820.7867598838
1520,138663.7709953864
1521,137958.60695264794
1522,164018.5502822665
1523,109031.67090747706
1524,125723.89786150523
1525,120930.9955304326
1526,122630.77465827666
1527,113112.15783109443
1528,125702.06583021299
1529,157706.88256631352
1530,166583.39214433834
1531,102163.78334123203
1532,99211.12616377958
1533,141943.03774776054
1534,125101.35848352847
1535,150745.7572431524
1536,109495.85995655906
1537,65983.24534492067
1538,180761.741709964
1539,201965.388446177
1540,97338.1127615265
1541,148688.77312792419
1542,147429.70586690496
1543,223281.23408204404
1544,73542.97154679883
1545,114284.94281319194
1546,126062.60085987458
1547,132254.8287781166
1548,139354.45340917932
1549,116165.04862239122
1550,150212.0672736211
1551,110295.13947016539
1552,143812.6022793813
1553,142009.92252406373
1554,117641.13847824058
1555,161599.95832073406
